Vehicle_ID,Latitude,Longitude,Speed,Engine_Status,Lock_Status,Alert
CAR001,28.6139,77.209,0.0,OFF,LOCKED,SAFE
CAR001,28.6145,77.2102,25.0,ON,UNLOCKED,SAFE
CAR001,28.6152,77.2118,38.0,ON,UNLOCKED,SAFE
CAR002,28.6139,77.209,0.0,OFF,LOCKED,SAFE
CAR002,28.6208,77.2185,42.0,ON,UNLOCKED,⚠ Geofence Breach
CAR002,28.6225,77.2215,50.0,ON,UNLOCKED,⚠ Geofence Breach
CAR003,28.6139,77.209,0.0,OFF,LOCKED,SAFE
CAR003,28.624,77.223,18.0,OFF,LOCKED,🚨 Theft Detected
CAR003,28.6255,77.2245,22.0,OFF,LOCKED,🚨 Theft Detected
CAR004,28.614,77.2092,10.0,ON,UNLOCKED,SAFE
CAR004,28.6155,77.2105,30.0,ON,UNLOCKED,SAFE
CAR004,28.6175,77.2125,55.0,ON,UNLOCKED,SAFE
CAR001,28.6139,77.209,0.0,OFF,LOCKED,SAFE
CAR001,28.6139,77.209,17.0,OFF,LOCKED,🚨 Theft Detected
CAR001,28.6139,77.209,5.0,OFF,UNLOCKED,SAFE
CAR006,28.6139,77.209,5.0,OFF,UNLOCKED,SAFE
CAR001,28.6139,77.209,40.0,OFF,LOCKED,🚨 Theft Detected
CAR001,28.6139,77.209,4.0,OFF,LOCKED,SAFE
CAR001,19.076,72.8777,40.0,OFF,LOCKED,🚨 Theft Detected
CAR001,19.076,72.8777,40.0,OFF,LOCKED,🚨 Theft Detected
CAR001,28.6139,77.209,49.0,OFF,LOCKED,🚨 Theft Detected
